Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,983.12,1254.94,49.72,22.26,0.04,12.3,0.04,1110328900000,1578.96,60.61,345.72,1372.09,72.6,55.91,0.06,2.17,0.44,79.19,1.28,31.67,2.82,6/24/2026 4:30:00 PM,92.4
Investment Master,CDE,Basic Materials,16.0,27.77,45.17,13.23,0.26,6.43,0.05,16488330000,26.23,63.94,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.28,1.25,51.66,5.04,8/5/2026 4:30:00 PM,87.0
Investment Master,CRDO,Technology,236.18,308.65,47.39,95.24,0.6,32.99,0.21,44042340000,280.14,18.61,157.02,336.83,68.01,35.37,0.01,3.22,10.22,74.7,1.14,5.33,3.19,6/1/2026 4:30:00 PM,86.3
Investment Master,NVDA,Technology,211.8,236.54,56.39,32.44,0.35,20.22,0.24,5125560070000,313.74,48.13,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.45,1.27,310.13,1.33,5/20/2026 4:30:00 PM,86.0
Investment Master,ONDS,Technology,7.36,15.28,39.45,36.76,,39.86,0.04,3850470000,19.81,169.16,1079.85,496.37,31.18,140.68,0.02,2.72,8.66,39.21,1.0,197.58,41.35,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,133.72,207.51,54.96,150.65,1.07,61.36,0.72,320568600000,190.3,42.31,84.71,304.06,84.07,43.67,0.03,1.58,8.5,57.95,1.97,87.26,3.98,5/4/2026 4:30:00 PM,85.6
Investment Master,IONQ,Technology,39.29,84.64,30.45,,,78.38,0.1,14665780000,71.32,81.52,754.72,1570.07,-28.8,164.87,0.01,3.27,1.66,55.4,1.64,44.03,12.0,5/6/2026 4:30:00 PM,83.0
Investment Master,AU,Basic Materials,80.34,129.14,42.15,11.79,0.33,3.63,0.06,40572300000,125.95,56.77,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.14,1.57,6.25,1.24,5/8/2026 8:30:00 AM,82.3
Investment Master,RDDT,Communication Services,203.27,282.95,63.11,57.64,0.65,15.82,0.23,39131310000,228.9,12.61,69.08,609.3,90.72,28.6,0.01,1.9,28.78,65.53,1.79,17.0,12.4,7/30/2026 4:30:00 PM,79.8
Investment Master,TER,Technology,353.23,487.89,43.85,65.38,0.67,14.61,0.17,55295380000,430.2,21.79,86.84,314.51,58.52,22.56,0.03,1.77,0.69,95.28,1.86,9.13,5.87,4/28/2026 4:30:00 PM,79.6
Investment Master,HL,Basic Materials,15.5,34.17,46.73,22.28,0.42,6.62,0.12,10396040000,24.08,55.35,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.59,2.0,41.99,6.31,5/5/2026 4:30:00 PM,78.3
Investment Master,AVGO,Technology,389.11,494.99,49.87,64.78,0.36,24.53,0.51,1851221910000,525.71,35.11,47.87,85.59,65.66,38.85,0.74,1.47,1.94,79.94,1.31,70.12,1.5,6/3/2026 4:30:00 PM,77.9
Investment Master,NEM,Basic Materials,94.75,134.88,43.41,12.29,0.42,4.14,0.09,101150620000,137.12,44.72,47.46,78.85,55.12,34.64,0.16,0.49,0.11,81.86,1.52,19.49,1.83,7/23/2026 4:30:00 PM,77.6
Investment Master,EQT,Energy,49.81,68.24,37.09,9.44,0.56,3.26,0.07,31155060000,68.31,37.14,49.54,488.4,49.33,34.39,0.24,0.58,1.09,93.91,1.61,21.29,3.44,7/21/2026 4:30:00 PM,77.4
Investment Master,STRL,Industrials,679.62,1005.65,40.77,60.76,0.73,7.23,0.08,20854790000,956.43,40.73,91.59,141.86,22.43,12.02,0.29,1.87,2.42,92.2,1.3,1.19,3.99,5/4/2026 4:30:00 PM,76.7
Investment Master,ALAB,Technology,361.78,499.49,46.95,243.85,1.73,61.92,0.66,62011960000,295.44,-18.34,93.4,148.21,75.99,26.72,0.03,3.78,18.28,71.48,1.84,12.68,9.04,8/4/2026 4:30:00 PM,76.5
Investment Master,CBRS,Technology,203.81,386.37,45.48,176.6,,93.57,0.99,56504400000,291.09,42.82,94.35,44.27,41.98,41.02,0.49,,71.38,4.35,1.42,13.53,16.83,6/23/2026 4:30:00 PM,75.9
Investment Master,LITE,Technology,814.8,1085.68,49.26,151.22,0.31,25.47,0.28,63391440000,1125.01,38.07,90.12,332.76,35.36,17.61,1.11,1.5,2.56,99.87,1.48,9.66,12.74,5/5/2026 4:30:00 PM,75.7
Investment Master,EXE,Energy,87.81,126.62,42.97,6.54,0.74,1.63,0.04,21006680000,127.46,45.15,40.78,553.24,50.24,25.03,0.26,0.33,0.47,93.71,1.48,7.69,3.23,4/28/2026 4:30:00 PM,75.0
Investment Master,WDC,Technology,563.32,799.83,47.98,33.63,0.38,16.49,0.36,194166340000,634.22,12.59,45.47,483.37,45.4,54.28,0.18,2.15,0.93,99.08,1.73,22.38,6.55,4/30/2026 4:30:00 PM,74.4
Investment Master,ADSK,Technology,205.92,329.1,47.2,30.09,0.9,5.78,0.29,43449120000,317.64,54.25,19.63,229.12,85.68,19.46,0.85,1.3,0.37,95.0,1.31,8.77,4.17,5/28/2026 4:30:00 PM,73.8
Investment Master,NBIX,Healthcare,172.04,181.17,56.89,26.45,0.46,5.58,0.13,17298620000,198.44,15.35,42.25,2382.36,98.17,21.55,0.12,0.39,1.74,101.83,1.41,5.53,5.6,7/30/2026 4:30:00 PM,73.5
Investment Master,META,Communication Services,661.04,796.24,63.51,24.03,0.96,7.81,0.24,1677999170000,821.6,24.29,33.08,62.49,81.94,32.84,0.36,1.24,13.7,68.45,1.26,34.49,1.57,4/29/2026 4:30:00 PM,73.1
Investment Master,NBIS,Technology,194.09,299.85,39.81,64.75,,55.64,0.09,48842830000,257.79,32.82,621.52,521.4,7.48,95.27,1.31,4.37,19.71,50.4,1.94,61.01,30.2,5/13/2026 8:30:00 AM,73.0
Investment Master,PODD,Healthcare,159.12,354.86,52.95,37.04,0.74,3.8,0.11,11021390000,233.65,46.84,33.87,158.51,71.64,10.44,0.73,1.11,0.43,104.99,1.43,4.85,7.04,8/5/2026 8:30:00 AM,72.2
Investment Master,TSM,Technology,420.39,479.02,45.66,34.94,0.6,16.41,0.41,2180344400000,488.83,16.28,40.49,64.6,60.72,46.96,0.19,1.39,0.09,15.18,1.26,27.73,0.54,7/16/2026 8:30:00 AM,72.2
Investment Master,BSX,Healthcare,42.63,109.5,32.55,17.88,1.12,3.07,0.27,63363320000,71.65,68.07,11.58,98.72,65.44,17.29,0.43,0.57,0.5,93.14,1.38,27.94,1.89,7/29/2026 8:30:00 AM,71.8
Investment Master,AVAV,Industrials,143.47,417.91,40.77,,1.57,3.67,0.03,7260740000,227.47,58.55,133.27,112.23,18.93,-13.41,0.19,1.41,25.13,63.11,1.33,4.1,10.82,6/29/2026 4:30:00 PM,71.8
Investment Master,BEAM,Healthcare,30.89,38.26,43.17,,,19.38,0.06,3177940000,50.07,62.09,324.87,26.46,86.36,-39.66,0.22,2.22,9.43,96.62,1.31,22.88,24.56,5/7/2026 8:30:00 AM,71.4
Investment Master,ICE,Financial,137.61,189.36,52.6,20.04,1.34,6.02,0.26,77820180000,183.8,33.57,23.56,79.47,68.69,30.41,0.71,0.94,0.61,95.56,1.25,10.6,1.89,7/30/2026 8:30:00 AM,71.3
Investment Master,ADMA,Healthcare,8.87,20.46,52.18,13.08,0.32,4.03,,2055820000,17.75,100.11,-0.27,71.73,61.24,32.43,0.52,0.73,2.83,92.04,1.75,24.23,10.76,5/6/2026 4:30:00 PM,71.2
Investment Master,NFLX,Communication Services,73.53,127.74,38.89,23.76,0.88,6.55,0.34,309620000000,112.77,53.37,19.31,85.79,49.44,28.29,0.54,1.52,0.66,83.32,1.64,104.12,2.49,7/16/2026 4:30:00 PM,70.6
Investment Master,ADI,Technology,392.75,445.9,47.64,58.37,0.87,15.02,0.4,191303430000,462.21,17.69,37.25,109.73,58.62,26.01,0.26,1.2,0.28,91.27,1.59,12.03,2.48,5/20/2026 8:30:00 AM,70.1
Investment Master,UUUU,Energy,13.23,27.9,36.86,,,38.96,0.35,3305740000,26.53,100.53,112.08,64.53,24.76,-82.7,0.94,1.53,1.62,67.7,1.22,47.13,19.17,5/6/2026 4:30:00 PM,70.0
Investment Master,AR,Energy,33.92,45.75,43.97,10.99,0.17,1.82,0.05,10509640000,49.29,45.31,34.1,160.16,25.84,16.69,0.59,0.34,4.58,88.46,1.6,11.84,4.0,4/29/2026 4:30:00 PM,69.9
Investment Master,MSFT,Technology,384.93,555.45,47.51,22.93,1.06,8.98,0.49,2859427260000,557.74,44.89,18.3,23.32,68.31,39.34,0.3,1.12,1.53,75.95,1.23,89.06,1.22,7/29/2026 4:30:00 PM,69.9
Investment Master,CNX,Energy,32.37,43.62,38.91,4.5,0.36,1.98,0.07,4579630000,39.08,20.73,28.26,262.79,50.03,50.93,0.55,0.6,4.03,98.2,3.33,16.38,12.07,7/30/2026 8:30:00 AM,69.8
Investment Master,SSRM,Basic Materials,27.81,36.52,44.14,26.79,0.18,3.05,0.04,5770330000,42.14,51.53,83.75,-290.68,43.52,12.17,0.02,-0.1,1.31,71.49,1.0,8.42,4.11,8/4/2026 4:30:00 PM,69.7
Investment Master,HAPN,Financial,19.95,21.67,57.15,13.35,0.18,1.47,0.05,2301250000,24.11,20.85,29.5,337.61,74.25,11.21,0.04,1.91,3.19,89.54,1.0,6.86,6.14,7/27/2026 4:30:00 PM,69.6
Investment Master,ESTC,Technology,62.32,96.07,59.52,17.81,0.69,3.72,0.23,6478270000,75.67,21.42,16.03,2754.97,76.07,21.14,0.46,0.99,13.9,87.04,1.94,6.87,7.67,5/28/2026 4:30:00 PM,69.4
Investment Master,PNFP,Financial,100.63,119.98,57.25,13.94,0.51,3.62,0.03,15205880000,117.14,16.41,136.95,-49.79,,14.87,0.41,1.04,1.46,84.9,1.57,6.12,4.11,7/22/2026 4:30:00 PM,69.3
Investment Master,GMED,Healthcare,75.82,101.39,42.53,17.66,1.17,3.32,0.12,10286210000,105.75,39.48,27.04,66.6,64.08,18.92,0.02,0.95,17.15,82.46,1.62,7.41,6.59,5/7/2026 4:30:00 PM,69.1
Investment Master,GOOG,Communication Services,357.33,404.45,49.54,27.26,1.45,10.31,0.46,4362796800000,436.05,22.03,22.34,81.96,60.43,37.86,0.2,1.24,58.3,27.65,1.39,58.49,1.15,7/22/2026 4:30:00 PM,68.7
Investment Master,GOOGL,Communication Services,359.51,408.63,49.35,27.42,1.45,10.32,0.46,4366502230000,436.23,21.34,22.34,81.96,60.43,37.86,0.2,1.24,51.99,39.37,1.39,85.86,1.47,7/22/2026 4:30:00 PM,68.7
Investment Master,AVPT,Technology,12.99,19.95,74.39,64.05,1.17,6.21,0.24,2754110000,16.1,23.94,25.98,340.52,73.59,10.51,0.05,1.16,33.48,54.06,1.6,16.1,11.42,5/7/2026 4:30:00 PM,68.5
Investment Master,BE,Industrials,243.4,351.28,43.32,,0.48,28.27,0.22,69233640000,297.04,22.04,130.37,313.73,31.08,0.25,3.2,3.79,6.31,85.85,2.25,19.35,7.26,7/28/2026 4:30:00 PM,68.4
Investment Master,FIX,Industrials,1775.1,2073.96,46.62,51.24,0.98,6.17,0.11,62487830000,2120.75,19.47,56.47,120.98,24.51,12.07,0.13,1.68,1.23,96.22,1.45,0.75,2.15,4/23/2026 4:30:00 PM,68.3
Investment Master,RRC,Energy,36.46,48.31,43.05,9.63,0.52,2.67,0.1,8590790000,46.05,26.3,25.67,260.69,38.05,28.06,0.21,0.43,1.53,95.78,2.56,20.69,8.92,7/21/2026 4:30:00 PM,68.2
Investment Master,CIEN,Technology,446.93,637.47,45.02,148.76,0.61,11.36,0.29,63264240000,588.75,31.73,39.51,2309.37,40.49,7.87,0.55,1.29,1.14,97.57,1.91,3.85,2.75,6/4/2026 8:30:00 AM,68.2
