Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,998.27,1255.05,50.42,22.6,0.04,12.49,0.04,1127439240000,1575.62,57.84,345.72,1372.09,72.6,55.91,0.06,2.18,0.44,79.19,1.28,41.59,3.7,6/24/2026 4:30:00 PM,92.0
Investment Master,CDE,Basic Materials,15.49,27.77,40.74,12.8,0.25,6.22,0.05,15960610000,27.05,74.63,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.35,1.25,43.97,4.29,5/6/2026 4:30:00 PM,88.1
Investment Master,NVDA,Technology,205.73,236.55,52.5,31.51,0.34,19.64,0.23,4978632290000,313.39,52.33,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.42,1.26,299.67,1.29,5/20/2026 4:30:00 PM,87.1
Investment Master,PLTR,Technology,129.4,207.5,50.66,145.79,1.04,59.38,0.7,310212190000,190.3,47.06,84.71,304.06,84.07,43.67,0.03,1.58,8.51,57.89,1.97,76.44,3.49,5/4/2026 4:30:00 PM,86.2
Investment Master,ONDS,Technology,7.63,15.28,39.23,38.11,,41.32,0.04,3991730000,19.81,159.63,1079.85,496.37,31.18,140.68,0.02,2.71,2.07,39.2,1.0,167.52,32.7,5/14/2026 8:30:00 AM,85.9
Investment Master,AU,Basic Materials,81.6,129.13,43.48,11.97,0.34,3.69,0.06,41208610000,128.46,57.43,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.08,1.57,4.12,0.82,5/8/2026 8:30:00 AM,82.4
Investment Master,CRDO,Technology,271.6,308.67,56.39,109.52,0.69,37.93,0.24,50647400000,280.14,3.14,157.02,336.83,68.01,35.37,0.01,3.21,10.23,74.75,1.14,9.47,5.66,6/1/2026 4:30:00 PM,82.1
Investment Master,EBC,Financial,21.49,22.89,52.67,12.02,0.54,3.53,0.0,4967270000,23.94,11.4,1206.82,126.85,,26.37,0.19,0.69,7.71,74.17,1.25,9.74,4.56,7/23/2026 4:30:00 PM,81.4
Investment Master,RDDT,Communication Services,193.0,282.95,59.26,54.73,0.62,15.02,0.22,37154240000,228.9,18.6,69.08,609.3,90.72,28.6,0.01,1.9,28.78,65.57,1.79,16.47,12.01,4/30/2026 4:30:00 PM,80.4
Investment Master,IONQ,Technology,45.95,84.64,38.05,,,91.66,0.12,17151750000,71.32,55.21,754.72,1570.07,-28.8,164.87,0.01,3.27,1.66,55.44,1.64,50.49,13.75,5/6/2026 4:30:00 PM,80.3
Investment Master,HL,Basic Materials,15.09,34.17,42.88,21.69,0.39,6.44,0.11,10121050000,25.19,66.93,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.52,2.0,39.41,5.93,5/5/2026 4:30:00 PM,79.5
Investment Master,TER,Technology,370.88,487.94,45.87,68.64,0.71,15.34,0.18,58058040000,430.2,15.99,86.84,314.51,58.52,22.56,0.03,1.78,0.69,96.16,1.86,8.85,5.69,4/28/2026 4:30:00 PM,79.1
Investment Master,NEM,Basic Materials,93.34,134.88,39.61,12.11,0.41,4.08,0.09,99648140000,138.03,47.88,47.46,78.85,55.12,34.64,0.16,0.49,0.11,81.71,1.59,19.7,1.85,7/23/2026 4:30:00 PM,77.8
Investment Master,LITE,Technology,737.07,1085.68,40.57,136.8,0.28,23.04,0.26,57343960000,1132.81,53.69,90.12,332.76,35.36,17.61,1.11,1.51,2.56,104.04,1.47,9.29,12.26,5/5/2026 4:30:00 PM,77.3
Investment Master,AVGO,Technology,401.89,495.0,54.27,66.9,0.37,25.34,0.53,1912023930000,525.71,30.81,47.87,85.59,65.66,38.85,0.74,1.47,1.92,79.92,1.31,61.48,1.32,6/3/2026 4:30:00 PM,77.2
Investment Master,EQT,Energy,51.16,68.24,39.41,9.7,0.58,3.35,0.07,31999460000,69.35,35.56,49.54,488.4,49.33,34.39,0.24,0.58,1.09,93.86,1.68,21.48,3.47,7/21/2026 4:30:00 PM,77.1
Investment Master,STRL,Industrials,675.0,1005.66,38.33,60.35,0.73,7.18,0.08,20713020000,956.43,41.69,91.59,141.86,22.43,12.02,0.29,1.87,2.42,92.28,1.22,1.7,5.67,5/4/2026 4:30:00 PM,76.6
Investment Master,META,Communication Services,587.78,796.23,49.76,21.37,0.87,6.94,0.21,1492046970000,820.74,39.63,33.08,62.49,81.94,32.84,0.36,1.24,13.7,68.48,1.26,29.99,1.37,4/29/2026 4:30:00 PM,75.5
Investment Master,EXE,Energy,90.65,126.62,50.76,6.76,0.68,1.68,0.04,21686100000,129.12,42.44,40.78,553.24,50.24,25.03,0.26,0.33,0.47,93.22,1.48,7.6,3.19,4/28/2026 4:30:00 PM,74.9
Investment Master,ALAB,Technology,409.33,499.49,54.74,275.9,1.96,70.06,0.75,70161560000,285.92,-30.15,93.4,148.21,75.99,26.72,0.03,3.78,18.28,71.46,1.84,11.51,8.22,5/5/2026 4:30:00 PM,74.5
Investment Master,ADSK,Technology,202.11,329.12,44.38,29.53,0.88,5.67,0.29,42645210000,317.64,57.16,19.63,229.12,85.68,19.46,0.85,1.3,0.37,94.96,1.31,7.47,3.55,5/28/2026 4:30:00 PM,74.2
Investment Master,WDC,Technology,577.67,799.88,49.47,34.48,0.41,16.91,0.37,199110840000,614.43,6.36,45.47,483.37,45.4,54.28,0.18,2.15,0.93,98.95,1.73,26.45,7.75,4/30/2026 4:30:00 PM,73.6
Investment Master,NBIS,Technology,224.02,299.85,47.48,74.74,,64.22,0.1,56374740000,257.79,15.07,621.52,521.4,7.48,95.27,1.31,4.39,19.73,50.41,1.88,50.93,25.21,5/13/2026 8:30:00 AM,72.4
Investment Master,PODD,Healthcare,160.0,354.85,54.42,37.24,0.74,3.82,0.11,11082350000,236.65,47.91,33.87,158.51,71.64,10.44,0.73,1.11,0.43,105.37,1.43,4.9,7.11,5/6/2026 8:30:00 AM,72.3
Investment Master,HAPN,Financial,18.78,21.67,50.35,12.57,0.17,1.38,0.05,2166290000,23.83,26.89,29.5,337.61,74.25,11.21,0.04,1.92,3.19,89.74,1.0,6.27,5.61,4/27/2026 4:30:00 PM,71.7
Investment Master,ICE,Financial,137.17,189.36,51.62,19.97,1.3,6.0,0.25,77571350000,188.07,37.11,23.56,79.47,68.69,30.41,0.71,0.94,0.61,95.53,1.25,10.41,1.85,7/30/2026 8:30:00 AM,71.6
Investment Master,NBIX,Healthcare,181.16,178.75,74.1,27.85,0.48,5.87,0.14,18215640000,195.68,8.02,42.25,2382.36,98.17,21.55,0.12,0.39,1.74,101.66,1.41,5.69,5.76,5/5/2026 4:30:00 PM,71.4
Investment Master,TW,Financial,99.36,147.48,47.51,24.52,1.49,10.85,0.51,23451550000,132.57,33.42,21.21,39.44,88.51,40.23,0.02,0.62,45.73,56.87,2.0,3.07,2.65,7/30/2026 8:30:00 AM,71.3
Investment Master,BSX,Healthcare,44.84,109.5,40.55,18.8,1.16,3.23,0.28,66648160000,73.0,62.8,11.58,98.72,65.44,17.29,0.43,0.57,0.5,93.61,1.42,29.75,2.01,7/29/2026 8:30:00 AM,71.2
Investment Master,AVAV,Industrials,156.5,417.89,45.13,,1.58,4.01,0.03,7920160000,238.65,52.49,133.27,112.23,18.93,-13.41,0.19,1.4,25.05,62.84,1.26,4.8,12.65,6/29/2026 4:30:00 PM,71.0
Investment Master,NFLX,Communication Services,74.6,128.95,40.74,24.1,0.88,6.64,0.34,314112920000,114.84,53.94,19.31,85.79,49.44,28.29,0.54,1.52,0.64,83.37,1.65,101.03,2.41,7/16/2026 4:30:00 PM,70.7
Investment Master,PNFP,Financial,97.81,120.46,49.49,13.55,0.49,3.52,0.03,14779760000,117.14,19.76,136.95,-49.79,,14.87,0.41,1.04,1.46,84.85,1.57,5.02,3.37,7/22/2026 4:30:00 PM,70.7
Investment Master,UUUU,Energy,13.3,27.9,35.48,,,39.16,0.35,3323230000,26.53,99.47,112.08,64.53,24.76,-82.7,0.94,1.53,1.59,67.84,1.22,37.77,15.36,5/6/2026 4:30:00 PM,70.7
