Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,781.59,1254.96,41.26,17.69,0.03,9.78,0.03,882722360000,1554.51,98.89,345.72,1372.09,72.6,55.91,0.06,2.19,0.44,78.02,1.3,36.21,3.22,6/24/2026 4:30:00 PM,95.6
Investment Master,CRDO,Technology,197.02,308.66,42.8,79.45,0.46,27.52,0.18,36739880000,290.14,47.26,157.02,336.83,68.01,35.37,0.01,3.23,9.93,74.64,1.15,6.01,3.58,6/1/2026 4:30:00 PM,89.0
Investment Master,NVDA,Technology,199.74,236.55,47.47,30.59,0.33,19.07,0.22,4833708130000,314.29,57.35,85.23,213.42,74.15,62.97,0.07,2.22,3.85,69.27,1.23,324.05,1.39,8/26/2026 4:30:00 PM,88.3
Investment Master,CDE,Basic Materials,14.9,27.76,44.11,12.32,0.25,5.99,0.04,15359910000,24.84,66.71,137.76,451.88,43.69,31.16,0.07,1.32,0.7,77.75,1.42,55.84,5.46,8/5/2026 4:30:00 PM,87.0
Investment Master,PLTR,Technology,126.09,207.52,48.22,142.06,1.01,57.86,0.68,302276860000,189.04,49.92,84.71,304.06,84.07,43.67,0.03,1.58,8.5,56.98,1.94,77.88,3.55,8/3/2026 4:30:00 PM,86.5
Investment Master,ONDS,Technology,7.55,15.29,47.27,37.69,,44.51,0.04,4299580000,19.81,162.38,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,42.64,1.0,229.56,43.91,5/14/2026 8:30:00 AM,85.9
Investment Master,TER,Technology,350.77,487.93,47.62,48.13,0.52,12.3,0.12,54911080000,442.64,26.19,103.99,385.31,59.06,25.77,0.03,1.78,0.68,94.07,1.7,7.3,4.69,7/28/2026 4:30:00 PM,83.4
Investment Master,IONQ,Technology,38.47,84.64,45.76,,,76.75,0.1,14360860000,70.38,82.95,754.72,1570.07,-28.8,164.87,0.01,3.28,1.66,55.94,1.6,47.05,12.82,8/5/2026 4:30:00 PM,83.1
Investment Master,RDDT,Communication Services,146.72,282.97,34.67,34.11,0.42,10.16,0.17,28245120000,219.47,49.58,61.1,162.2,90.85,31.35,0.01,2.03,28.78,65.89,1.75,16.99,12.39,7/30/2026 4:30:00 PM,82.9
Investment Master,ALAB,Technology,293.8,499.49,43.45,198.03,1.25,50.29,0.54,50359660000,321.63,9.47,93.4,148.21,75.99,26.72,0.03,3.84,18.17,71.67,1.88,9.53,6.79,8/4/2026 4:30:00 PM,80.3
Investment Master,HL,Basic Materials,14.02,34.16,40.43,20.16,0.39,5.99,0.11,9406740000,23.53,67.83,56.55,466.67,48.39,29.65,0.11,1.32,0.83,73.66,1.91,41.15,6.19,8/4/2026 4:30:00 PM,79.6
Investment Master,STRL,Industrials,576.52,1005.62,40.1,51.54,0.62,6.13,0.07,17691070000,956.43,65.9,91.59,141.86,22.43,12.02,0.29,1.88,2.44,92.29,1.3,1.28,4.28,8/3/2026 4:30:00 PM,79.0
