Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,NVDA,Technology,194.97,236.53,40.08,29.86,0.33,18.61,0.22,4718274030000,313.39,60.74,85.23,213.42,74.15,62.97,0.07,2.22,3.96,70.39,1.26,299.67,1.29,5/20/2026 4:30:00 PM,89.2
Investment Master,PLTR,Technology,115.7,207.53,37.74,130.35,0.93,53.09,0.63,277369030000,189.87,64.11,84.71,304.06,84.07,43.67,0.03,1.6,8.51,57.88,2.0,76.44,3.49,5/4/2026 4:30:00 PM,87.9
Investment Master,CDE,Basic Materials,16.33,27.77,44.04,13.5,0.28,6.59,0.05,16893560000,27.27,66.99,137.76,451.88,43.69,31.16,0.07,1.32,0.64,76.99,1.25,43.97,4.28,5/6/2026 4:30:00 PM,87.4
Investment Master,MU,Technology,1145.28,1254.96,59.55,25.93,0.04,14.33,0.04,1293471320000,1543.18,34.74,345.72,1372.09,72.6,55.91,0.06,2.11,0.44,79.33,1.29,41.59,3.7,6/24/2026 4:30:00 PM,86.9
Investment Master,ONDS,Technology,8.02,15.28,37.75,40.06,,43.2,0.04,4172720000,20.12,150.87,1079.85,496.37,31.18,140.68,0.02,2.75,2.11,38.55,1.0,167.52,32.88,5/14/2026 8:30:00 AM,85.9
Investment Master,CRDO,Technology,245.68,308.68,52.26,99.07,0.62,34.31,0.22,45813890000,280.14,14.03,157.02,336.83,68.01,35.37,0.01,3.21,10.24,74.63,1.14,9.47,5.66,6/1/2026 4:30:00 PM,85.4
Investment Master,AU,Basic Materials,81.79,129.15,41.41,12.0,0.32,3.7,0.06,41304560000,132.71,62.26,64.85,188.38,56.04,31.11,0.27,0.69,0.22,66.08,1.57,4.12,0.82,5/8/2026 8:30:00 AM,82.9
Investment Master,RDDT,Communication Services,174.39,282.96,54.33,49.45,0.57,13.57,0.2,33571650000,227.87,30.67,69.08,609.3,90.72,28.6,0.01,1.96,28.76,64.72,1.79,16.47,12.01,4/30/2026 4:30:00 PM,81.6
Investment Master,EBC,Financial,22.07,22.58,70.38,12.34,0.56,3.62,0.0,5101330000,23.44,6.21,1206.82,126.85,,26.37,0.19,0.65,7.71,74.15,1.25,9.74,4.56,4/23/2026 4:30:00 PM,79.7
Investment Master,HL,Basic Materials,15.4,34.17,44.51,22.14,0.41,6.58,0.12,10328970000,25.19,63.57,56.55,466.67,48.39,29.65,0.11,1.3,0.79,73.95,2.0,39.41,5.93,5/5/2026 4:30:00 PM,79.1
Investment Master,AVGO,Technology,372.45,495.02,42.47,62.0,0.34,23.48,0.49,1771960760000,525.71,41.15,47.87,85.59,65.66,38.85,0.74,1.49,2.04,79.87,1.31,61.48,1.32,6/3/2026 4:30:00 PM,78.6
Investment Master,IONQ,Technology,53.88,84.64,46.86,,,107.48,0.14,20111780000,71.32,32.37,754.72,1570.07,-28.8,164.87,0.01,3.27,1.66,55.59,1.54,50.49,13.75,5/6/2026 4:30:00 PM,78.3
Investment Master,NEM,Basic Materials,94.51,134.88,38.43,12.26,0.39,4.13,0.09,100894410000,142.6,50.88,47.46,78.85,55.12,34.64,0.16,0.49,0.11,81.77,1.59,19.7,1.85,4/23/2026 4:30:00 PM,78.1
Investment Master,EQT,Energy,52.0,68.24,42.19,9.86,0.52,3.41,0.07,32524850000,69.72,34.08,49.54,488.4,49.33,34.39,0.24,0.56,1.09,93.86,1.74,21.48,3.47,4/21/2026 4:30:00 PM,77.0
Investment Master,META,Communication Services,562.6,796.21,42.48,20.45,0.82,6.64,0.2,1428116790000,820.27,45.8,33.08,62.49,81.94,32.84,0.36,1.26,13.7,68.46,1.26,29.99,1.37,4/29/2026 4:30:00 PM,76.2
